N,sym,U_ss,U_pp,V_s,V_p,f03,zeta_s,zeta_p,g_ss,g_sp,g_pp,g_p2,h_sp,h_p2,eheat,eisol
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,H ,-12.505,0.0,-13.605,0.0,12.848,1.3,0.0,12.848,0.0,0.0,0.0,0.0,0.0,52.102,-12.505
2,He,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Li,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.43,6.97,6.22,1.28,0.0,0.0,0.0
5,B ,-33.61,-25.11,-15.16,-8.52,8.958,1.211156,0.972826,10.59,9.56,8.86,7.86,1.81,0.5,135.7,-61.7
6,C ,-51.79,-39.18,-21.34,-11.54,10.833,1.739391,1.709645,12.23,11.47,11.08,9.84,2.43,0.62,170.89,-119.47
7,N ,-66.06,-56.4,-27.51,-14.34,12.377,2.704546,1.870839,13.59,12.66,12.98,11.59,3.14,0.7,113.0,-187.51
8,O ,-91.73,-78.8,-35.3,-17.91,13.985,3.640575,2.168448,15.42,14.48,14.52,12.98,3.94,0.77,59.559,-307.07
9,F ,-129.86,-105.93,-43.7,-20.89,16.25,3.11127,1.41986,16.92,17.25,16.71,14.91,4.83,0.9,18.86,-475.0
10,Ne,0.0,0.0,-17.82,-8.51,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Na,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Mg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Al,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.09,6.63,5.98,5.4,0.7,0.0,0.0,0.0
14,Si,-39.82,-29.15,0.0,0.0,7.57,1.629173,1.381721,9.82,8.36,7.31,6.54,1.32,0.38,106.0,-90.98
15,P ,-56.23,-42.31,-21.1,-10.29,9.0,1.926108,1.590665,11.56,10.08,8.64,7.68,1.92,0.48,79.8,-150.81
16,S ,-73.39,-57.25,-23.84,-12.41,10.2,1.71948,1.403205,12.88,11.26,9.9,8.83,2.26,0.54,65.65,-229.15
17,Cl,-98.99,-76.43,-25.26,-15.09,11.73,3.430887,1.627017,15.03,13.16,11.3,9.97,2.42,0.67,28.95,-345.93
